Year,Technology,Value
2026,SolarPV,0
2026,WindOnshore,0
2026,HydroPower,0
2026,Tidal,0
2026,DieselGenerator,28
2026,DieselImport,0
2026,Forest,0
2026,GasImport,0
2026,GasStove,169
2026,ICEVehicle,177
2026,WoodBurner,455
2028,SolarPV,0
2028,WindOnshore,0
2028,HydroPower,0
2028,Tidal,0
2028,DieselGenerator,31
2028,DieselImport,0
2028,Forest,0
2028,GasImport,0
2028,GasStove,181
2028,ICEVehicle,185
2028,WoodBurner,478
2030,SolarPV,0
2030,WindOnshore,0
2030,HydroPower,0
2030,Tidal,0
2030,DieselGenerator,35
2030,DieselImport,0
2030,Forest,0
2030,GasImport,0
2030,GasStove,193
2030,ICEVehicle,198
2030,WoodBurner,501
