Year,Technology,Value
2026,SolarPV,0
2026,WindOnshore,0
2026,HydroPower,0
2026,DieselGenerator,14.57679316
2026,Tidal,0
2026,DieselImport,0
2026,Forest,0
2026,ElectricStove,18
2026,ElectricVehicle,31
2026,WoodBurner,374.85
2026,ElectricHeatPump,0
2028,SolarPV,0
2028,WindOnshore,0
2028,HydroPower,0
2028,DieselGenerator,16.98822022
2028,Tidal,0
2028,DieselImport,0
2028,Forest,0
2028,ElectricStove,9
2028,ElectricVehicle,16
2028,WoodBurner,373
2028,ElectricHeatPump,0
2030,SolarPV,0
2030,WindOnshore,0
2030,HydroPower,0
2030,DieselGenerator,0
2030,Tidal,0
2030,DieselImport,0
2030,Forest,0
2030,ElectricStove,0
2030,ElectricVehicle,0
2030,WoodBurner,180
2030,ElectricHeatPump,0
