Year,Technology,Value
2025,SolarPV,0.0
2025,WindOnshore,0.0
2025,HydroPower,0.0
2025,DieselGenerator,4755.756981746326
2025,Tidal,0.0
2025,DieselImport,0.0
2025,Forest,0.0
2025,ElectricStove,0.0
2025,ElectricVehicle,0.0
2025,WoodBurner,0.0
2030,SolarPV,0.0
2030,WindOnshore,0.0
2030,HydroPower,0.0
2030,DieselGenerator,3500.0
2030,Tidal,0.0
2030,DieselImport,0.0
2030,Forest,0.0
2030,ElectricStove,0.0
2030,ElectricVehicle,0.0
2030,WoodBurner,0.0
2035,SolarPV,0.0
2035,WindOnshore,0.0
2035,HydroPower,0.0
2035,DieselGenerator,1500.0
2035,Tidal,0.0
2035,DieselImport,0.0
2035,Forest,0.0
2035,ElectricStove,0.0
2035,ElectricVehicle,0.0
2035,WoodBurner,0.0
2040,SolarPV,0.0
2040,WindOnshore,0.0
2040,HydroPower,0.0
2040,DieselGenerator,0.0
2040,Tidal,0.0
2040,DieselImport,0.0
2040,Forest,0.0
2040,ElectricStove,0.0
2040,ElectricVehicle,0.0
2040,WoodBurner,0.0
